"","Mes","fechas16","c_16","fechas17","c_17","fechas18","c_18","fechas19","c_19"
"1","01","2016-01-01",208.920356182796,"2017-01-01",221.851283602151,"2018-01-01",543.735675403226,"2019-01-01",58.1310047043011
"2","02","2016-02-01",394.176849856322,"2017-02-01",200.218136160714,"2018-02-01",279.774650297619,"2019-02-01",48.0697879464286
"3","03","2016-03-01",106.499324596774,"2017-03-01",227.146471774194,"2018-03-01",94.8883154001345,"2019-03-01",94.7437130376344
"4","04","2016-04-01",97.437875,"2017-04-01",200.464930555556,"2018-04-01",150.577173611111,"2019-04-01",50.8073055555556
"5","05","2016-05-01",202.750450268817,"2017-05-01",238.010981182796,"2018-05-01",223.090121008403,"2019-05-01",125.777543682796
"6","06","2016-06-01",256.499625,"2017-06-01",184.310052083333,"2018-06-01",167.260784722222,"2019-06-01",112.902607638889
"7","07","2016-07-01",248.204899193548,"2017-07-01",266.235178091398,"2018-07-01",381.487372311828,"2019-07-01",145.917758736559
"8","08","2016-08-01",146.87654905914,"2017-08-01",158.43658266129,"2018-08-01",214.893010752688,"2019-08-01",142.713780241935
"9","09","2016-09-01",99.4189826388889,"2017-09-01",339.208314732143,"2018-09-01",113.994621527778,"2019-09-01",90.4091354166667
"10","10","2016-10-01",173.062913306452,"2017-10-01",300.094338037634,"2018-10-01",172.197701612903,"2019-10-01",107.795809811828
"11","11","2016-11-01",354.8439375,"2017-11-01",187.57565625,"2018-11-01",150.647298611111,"2019-11-01",196.679479166667
"12","12","2016-12-01",344.773676075269,"2017-12-01",364.876906565657,"2018-12-01",96.389126344086,"2019-12-01",181.571878360215
